monthly_income,emi,monthly_expense,savings,risk_level
65859,12994,49440,3425,Medium
41309,11726,31077,-1494,Medium
78734,24176,50920,3638,Medium
85467,43910,72015,-30458,High
67662,31585,53483,-17406,Medium
27688,13419,20883,-6614,Medium
40342,4256,13448,22638,Low
52157,16068,15862,20227,Medium
82863,28229,35421,19213,Medium
67083,7352,46831,12900,Medium
80733,18561,44138,18034,Low
49698,23862,26908,-1072,Medium
95623,16117,79439,67,Medium
37671,13849,31543,-7721,Medium
40184,8342,33975,-2133,Medium
57107,6056,27886,23165,Low
66663,14705,47639,4319,Medium
30708,18054,14217,-1563,Medium
64811,32455,26855,5501,Medium
17811,10326,7316,169,Medium
71250,24504,36000,10746,Medium
87082,13486,48589,25007,Low
49754,18606,39732,-8584,Medium
26411,8641,9823,7947,Medium
17911,9352,13271,-4712,Medium
82270,12261,50914,19095,Medium
98763,33986,46691,18086,Medium
23680,4144,14105,5431,Low
99896,26206,47946,25744,Low
98879,46342,65027,-12490,Medium
86295,29168,48351,8776,Medium
26111,7518,10408,8185,Low
52504,15606,19423,17475,Low
16802,5540,10551,711,Medium
23155,11404,19483,-7732,Medium
88656,48409,44893,-4646,Medium
54384,31415,40233,-17264,Medium
62254,30719,43278,-11743,Medium
36918,9513,31710,-4305,Medium
75713,33621,60009,-17917,Medium
45306,14443,28994,1869,Medium
31646,7194,21969,2483,Medium
61843,32185,51888,-22230,High
31371,3739,16931,10701,Low
92371,50885,45823,-4337,Medium
17049,5638,5225,6186,Medium
46616,19513,37103,-10000,Medium
35932,15439,28048,-7555,Medium
44855,24560,16267,4028,Medium
76434,31975,49385,-4926,Medium
87694,35688,50721,1285,Medium
58016,7735,21537,28744,Low
22400,8046,19898,-5544,Medium
57642,10092,24717,22833,Low
30151,14132,10261,5758,Medium
66407,23648,43623,-864,Medium
81690,35952,60721,-14983,Medium
19499,2356,6229,10914,Low
21295,3032,14804,3459,Medium
74040,33922,45858,-5740,Medium
27183,3698,9839,13646,Low
44299,6008,17875,20416,Low
27874,2956,17861,7057,Medium
47711,27588,22797,-2674,Medium
20539,9627,17724,-6812,Medium
68351,18907,54082,-4638,Medium
76267,18934,67888,-10555,Medium
63354,17412,28876,17066,Low
17557,8555,15482,-6480,Medium
53360,22981,29814,565,Medium
97018,18685,49334,28999,Low
17200,3217,5679,8304,Low
83497,12457,27692,43348,Low
61975,26658,44324,-9007,Medium
36357,17530,20896,-2069,Medium
92505,21509,40324,30672,Low
17869,1974,11943,3952,Medium
76135,10741,34391,31003,Low
65108,38018,42097,-15007,Medium
53467,13244,27563,12660,Low
38328,18574,30437,-10683,Medium
18987,7828,15045,-3886,Medium
73871,21494,43318,9059,Low
37399,7586,19091,10722,Low
61214,9836,31680,19698,Low
85271,34748,66803,-16280,Medium
59064,28782,29349,933,Medium
85091,35904,36200,12987,Medium
55818,20382,19581,15855,Medium
60525,7322,35105,18098,Low
34830,20349,20524,-6043,Medium
32429,16193,26090,-9854,Medium
21893,5394,9474,7025,Low
94909,55994,50168,-11253,Medium
62333,24991,48934,-11592,Medium
18436,7212,14641,-3417,Medium
89290,42326,47392,-428,Medium
91213,46143,52490,-7420,Medium
20895,8948,10070,1877,Medium
34738,5698,29858,-818,Medium
45746,12311,16980,16455,Low
64377,36311,55380,-27314,High
63404,13461,45037,4906,Medium
69045,19752,42734,6559,Medium
54790,17315,17510,19965,Medium
20600,6585,12058,1957,Medium
55764,22666,30371,2727,Medium
89543,51177,35524,2842,Medium
60714,13378,42126,5210,Medium
71835,11547,63408,-3120,Medium
88744,17636,56557,14551,Medium
71491,38852,52106,-19467,Medium
33589,14204,11456,7929,Medium
58484,14208,32201,12075,Low
97989,49775,36237,11977,Medium
51212,27177,34193,-10158,Medium
58525,30623,50512,-22610,High
62202,34799,43358,-15955,Medium
47635,10771,16485,20379,Low
78208,37345,40105,758,Medium
48828,16126,30781,1921,Medium
33711,17563,18268,-2120,Medium
18420,8551,14739,-4870,Medium
15301,7470,12069,-4238,Medium
60236,25785,40183,-5732,Medium
81235,15330,42573,23332,Low
69240,25792,31379,12069,Medium
80726,47816,29345,3565,Medium
25492,14497,13075,-2080,Medium
21102,2565,11561,6976,Low
65336,11917,46094,7325,Medium
41641,6906,28936,5799,Medium
49584,22956,16960,9668,Medium
47745,24297,25646,-2198,Medium
38093,7875,15582,14636,Low
81105,28624,31962,20519,Medium
66885,34803,53265,-21183,Medium
51631,24080,16787,10764,Medium
87991,32655,48527,6809,Medium
19014,7513,7623,3878,Medium
26093,9241,21594,-4742,Medium
33070,8226,20973,3871,Medium
50777,19422,22282,9073,Medium
71958,31981,43279,-3302,Medium
97074,52095,71727,-26748,Medium
25729,10758,22509,-7538,Medium
60017,28841,25943,5233,Medium
81320,14640,67634,-954,Medium
42751,14141,36790,-8180,Medium
93069,9741,79094,4234,Medium
69748,15577,47515,6656,Medium
20801,9635,14100,-2934,Medium
34190,20373,18528,-4711,Medium
64689,9676,48609,6404,Medium
65993,19847,40834,5312,Medium
44592,22297,31502,-9207,Medium
25647,5181,14287,6179,Low
23716,8953,17523,-2760,Medium
85316,39802,67799,-22285,Medium
17368,7086,6736,3546,Medium
92575,17960,74037,578,Medium
21655,6013,13516,2126,Medium
85031,41826,68602,-25397,Medium
91429,34479,51088,5862,Medium
70766,7261,37323,26182,Low
28403,13647,24115,-9359,Medium
47097,5541,21226,20330,Low
93657,44287,75536,-26166,Medium
25966,5225,15330,5411,Low
67921,39328,41327,-12734,Medium
64726,18380,31397,14949,Low
65300,17204,42041,6055,Medium
37677,6572,18654,12451,Low
70609,17850,22846,29913,Low
71661,38576,33193,-108,Medium
46024,27530,13983,4511,Medium
85313,24242,75673,-14602,Medium
68006,22054,59807,-13855,Medium
30338,13986,16294,58,Medium
83027,45091,61192,-23256,Medium
95135,37723,48279,9133,Medium
34508,10206,24247,55,Medium
18051,5529,14138,-1616,Medium
63747,28546,55335,-20134,Medium
69021,7013,37280,24728,Low
81412,33362,62685,-14635,Medium
73335,20368,33701,19266,Low
71179,35382,63648,-27851,Medium
47093,6898,14856,25339,Low
84678,33371,56066,-4759,Medium
95738,32597,66605,-3464,Medium
54734,23051,39015,-7332,Medium
87615,11602,32613,43400,Low
88523,34523,76405,-22405,Medium
32019,12190,13086,6743,Medium
98613,37505,66430,-5322,Medium
88847,35693,38524,14630,Medium
97750,42837,47343,7570,Medium
94634,47553,59418,-12337,Medium
43251,10160,23801,9290,Low
40945,20985,16219,3741,Medium
47217,16484,19007,11726,Medium
23308,3228,12840,7240,Low
20949,2708,15803,2438,Medium
66990,17894,56189,-7093,Medium
16150,7953,5660,2537,Medium
89740,40727,48088,925,Medium
81617,40343,29394,11880,Medium
31896,11439,9886,10571,Medium
61175,19582,42640,-1047,Medium
22805,3961,15084,3760,Medium
20237,5344,8050,6843,Low
35056,11113,15434,8509,Medium
60543,8736,19024,32783,Low
71556,15048,57314,-806,Medium
18343,7320,16230,-5207,Medium
28500,13333,10866,4301,Medium
68222,40876,29941,-2595,Medium
44375,25140,36433,-17198,High
24662,10389,21107,-6834,Medium
31964,9928,17636,4400,Medium
74638,31205,24658,18775,Medium
88666,43696,28695,16275,Medium
82215,13086,52976,16153,Medium
84042,25628,45024,13390,Medium
28284,14704,8971,4609,Medium
87789,25627,57058,5104,Medium
99664,38463,30575,30626,Medium
76389,30088,59004,-12703,Medium
24435,4697,11823,7915,Low
69340,19492,22476,27372,Low
59078,15788,38578,4712,Medium
93832,10612,50538,32682,Low
66293,7431,58621,241,Medium
93781,48376,58755,-13350,Medium
75403,17835,35073,22495,Low
44124,15842,32019,-3737,Medium
58919,14692,27273,16954,Low
50247,28657,42335,-20745,High
77752,17855,40806,19091,Low
71573,22533,45085,3955,Medium
74101,39745,24478,9878,Medium
41646,21696,23141,-3191,Medium
38049,7345,30417,287,Medium
94605,47427,74112,-26934,Medium
83385,27441,36238,19706,Medium
55158,18835,24029,12294,Medium
80417,13408,63560,3449,Medium
38289,5371,32861,57,Medium
24823,11517,8867,4439,Medium
75160,26173,42843,6144,Medium
56975,18142,28628,10205,Medium
24540,11405,20182,-7047,Medium
31364,15141,10981,5242,Medium
19611,3519,8367,7725,Low
42663,17283,32060,-6680,Medium
66991,11232,22159,33600,Low
72679,34572,43281,-5174,Medium
45977,19700,25989,288,Medium
64115,37078,32098,-5061,Medium
75890,10205,40733,24952,Low
81387,10460,50294,20633,Medium
33071,7973,13123,11975,Low
74275,17146,47773,9356,Medium
87369,19526,68432,-589,Medium
26938,14900,20367,-8329,Medium
50195,11282,19693,19220,Low
19000,4483,7401,7116,Low
85588,41056,39447,5085,Medium
53304,17316,27539,8449,Medium
84449,41241,46030,-2822,Medium
97986,13001,69356,15629,Medium
35764,12295,11945,11524,Medium
53494,6248,17161,30085,Low
18373,2412,9832,6129,Low
27161,15025,19509,-7373,Medium
42350,7183,17620,17547,Low
40351,14776,27636,-2061,Medium
30305,9259,13815,7231,Medium
90353,24727,75142,-9516,Medium
91797,50480,76872,-35555,High
80953,8978,38725,33250,Low
72458,31294,31736,9428,Medium
35358,20567,19333,-4542,Medium
18267,6942,8116,3209,Medium
97745,55559,68756,-26570,Medium
53513,6749,42577,4187,Medium
41092,12713,28922,-543,Medium
26338,6059,20928,-649,Medium
15412,7172,8294,-54,Medium
22543,13314,8877,352,Medium
48496,11069,36021,1406,Medium
75692,32327,39078,4287,Medium
59425,11828,41761,5836,Medium
53756,20570,24856,8330,Medium
33888,11249,11818,10821,Medium
50735,29730,45435,-24430,High
62295,25183,24526,12586,Medium
98042,26937,87556,-16451,Medium
32955,5175,29210,-1430,Medium
52841,9280,41019,2542,Medium
85640,18212,59575,7853,Medium
80510,18153,52064,10293,Medium
49911,26218,40910,-17217,High
74031,28177,35065,10789,Medium
22357,8086,12980,1291,Medium
47479,7472,31888,8119,Medium
76476,40537,41810,-5871,Medium
59811,27597,33284,-1070,Medium
51208,6853,25510,18845,Low
35150,15955,22444,-3249,Medium
86180,32039,69835,-15694,Medium
58286,8210,24533,25543,Low
83450,27467,71822,-15839,Medium
36352,12445,25935,-2028,Medium
70069,12814,55632,1623,Medium
29397,16840,18629,-6072,Medium
56555,29690,43417,-16552,Medium
61959,26921,19189,15849,Medium
15728,5208,12441,-1921,Medium
65517,20040,21232,24245,Medium
81234,34563,67744,-21073,Medium
54954,20482,49193,-14721,Medium
62280,8167,29672,24441,Low
94459,33651,40257,20551,Medium
31779,15991,24127,-8339,Medium
78932,26017,35662,17253,Medium
87936,11078,72049,4809,Medium
39466,19462,14275,5729,Medium
51939,10423,19506,22010,Low
84896,19467,75344,-9915,Medium
50270,9166,35405,5699,Medium
74163,19661,59933,-5431,Medium
97637,46707,48291,2639,Medium
66934,24075,47248,-4389,Medium
79895,16173,52454,11268,Medium
47307,25494,31312,-9499,Medium
69098,37298,49026,-17226,Medium
75921,40639,48985,-13703,Medium
20486,4494,11419,4573,Low
23335,7598,10863,4874,Medium
26130,15481,19888,-9239,Medium
75566,36725,32928,5913,Medium
81703,9280,58451,13972,Medium
42192,5594,18564,18034,Low
16062,5332,10845,-115,Medium
99076,54948,74133,-30005,Medium
36545,13497,15759,7289,Medium
36689,12801,12326,11562,Medium
26174,3997,9909,12268,Low
24348,10430,16157,-2239,Medium
38714,19784,31345,-12415,High
53102,15410,17364,20328,Low
89460,43639,66244,-20423,Medium
21801,12693,11004,-1896,Medium
87267,17617,51235,18415,Low
63136,22834,54127,-13825,Medium
38625,9407,19280,9938,Low
97873,48586,56688,-7401,Medium
87592,34055,26996,26541,Medium
92052,38412,32122,21518,Medium
59261,29568,26972,2721,Medium
16542,4929,5239,6374,Low
36677,20449,24897,-8669,Medium
61732,22625,34313,4794,Medium
65343,11694,41093,12556,Medium
54081,24225,21891,7965,Medium
77856,38665,37180,2011,Medium
34065,8801,23787,1477,Medium
98460,52044,86564,-40148,High
69693,38545,23016,8132,Medium
41962,10005,35005,-3048,Medium
43295,25620,27974,-10299,Medium
28807,4907,18388,5512,Medium
57348,11527,34418,11403,Medium
41432,7959,14154,19319,Low
98285,53761,34785,9739,Medium
72854,31119,48123,-6388,Medium
55262,9728,27883,17651,Low
52080,16674,44286,-8880,Medium
16324,6654,8879,791,Medium
50909,7215,19649,24045,Low
34870,18871,25414,-9415,Medium
49578,24878,23599,1101,Medium
87124,30720,53605,2799,Medium
41790,24387,30034,-12631,Medium
40289,12444,33849,-6004,Medium
70129,41520,54372,-25763,Medium
30485,13229,21516,-4260,Medium
59482,24823,42100,-7441,Medium
19748,3613,17132,-997,Medium
24435,13218,11667,-450,Medium
18709,5869,5625,7215,Medium
45355,8214,21007,16134,Low
70771,7523,30483,32765,Low
72799,27654,50748,-5603,Medium
28116,10225,19125,-1234,Medium
40470,18603,26551,-4684,Medium
57344,31259,17762,8323,Medium
57918,8091,42701,7126,Medium
67224,31309,33216,2699,Medium
54298,10517,37956,5825,Medium
95219,50379,60363,-15523,Medium
76629,39044,38746,-1161,Medium
81040,30016,30855,20169,Medium
43016,19577,15341,8098,Medium
38960,10019,31125,-2184,Medium
48591,16306,41352,-9067,Medium
97848,49982,67502,-19636,Medium
82641,27241,29921,25479,Medium
51395,14334,27815,9246,Low
37700,13085,27798,-3183,Medium
49620,25510,38102,-13992,Medium
35559,9515,13189,12855,Low
76642,14322,22994,39326,Low
91539,41742,66574,-16777,Medium
36732,18843,18878,-989,Medium
45354,6817,20531,18006,Low
28843,6343,8876,13624,Low
86726,14828,54132,17766,Medium
32640,8942,26460,-2762,Medium
67528,21958,59058,-13488,Medium
53413,25339,34154,-6080,Medium
67638,28784,41169,-2315,Medium
67736,27803,23777,16156,Medium
83866,23162,52778,7926,Medium
34087,17749,17997,-1659,Medium
56430,18940,37485,5,Medium
39504,23289,21064,-4849,Medium
22114,9223,9822,3069,Medium
93859,15311,33505,45043,Low
25975,11379,12700,1896,Medium
26023,6832,9315,9876,Low
36447,16151,14802,5494,Medium
38959,5252,34767,-1060,Medium
81203,15220,45998,19985,Low
44703,23597,27676,-6570,Medium
24337,5198,20057,-918,Medium
61427,31851,55120,-25544,High
76529,18339,49715,8475,Medium
99665,42002,78484,-20821,Medium
46921,20977,23280,2664,Medium
48307,17213,23353,7741,Medium
42355,10701,22940,8714,Low
19835,4092,13954,1789,Medium
35159,4099,24938,6122,Medium
62605,15774,30622,16209,Low
53088,22646,20169,10273,Medium
93752,53359,63698,-23305,Medium
70284,37644,26496,6144,Medium
72043,34799,46618,-9374,Medium
50547,24981,36194,-10628,Medium
97844,42316,70483,-14955,Medium
42532,9788,31987,757,Medium
49349,27319,40649,-18619,High
60445,26315,36265,-2135,Medium
20713,7875,15289,-2451,Medium
71178,11067,47796,12315,Medium
64407,20837,26534,17036,Medium
85340,28177,26917,30246,Medium
65990,35125,31063,-198,Medium
90672,33850,51304,5518,Medium
80545,23374,53986,3185,Medium
99791,58717,80828,-39754,High
73141,11363,30554,31224,Low
38793,12075,14560,12158,Medium
71570,8660,62844,66,Medium
52892,24856,19296,8740,Medium
16015,8952,9402,-2339,Medium
76813,18436,50031,8346,Medium
42712,22601,26687,-6576,Medium
23415,5762,8233,9420,Low
77292,42926,25832,8534,Medium
38833,18522,14107,6204,Medium
19158,9626,12478,-2946,Medium
77680,8467,48674,20539,Medium
35309,20528,15544,-763,Medium
21970,10179,14998,-3207,Medium
87474,22076,69282,-3884,Medium
61540,31674,19997,9869,Medium
35384,8519,21190,5675,Low
33017,17709,23560,-8252,Medium
90880,14203,41022,35655,Low
23702,10709,11487,1506,Medium
15384,5697,10279,-592,Medium
15404,2283,12920,201,Medium
55943,12360,43968,-385,Medium
62926,6682,40894,15350,Medium
44189,14776,32617,-3204,Medium
27763,6958,14406,6399,Low
33384,13326,22853,-2795,Medium
75100,18671,43536,12893,Low
24860,6213,10291,8356,Low
95642,45104,68961,-18423,Medium
65612,8140,41590,15882,Medium
38574,21271,19872,-2569,Medium
38524,20268,32622,-14366,High
84172,36522,26308,21342,Medium
25916,10278,12684,2954,Medium
19809,10818,6618,2373,Medium
47201,9093,35868,2240,Medium
68330,9530,49284,9516,Medium
28456,6253,14194,8009,Low
71397,35504,50363,-14470,Medium
53765,6308,28902,18555,Low
49816,19498,37548,-7230,Medium
60106,35926,34411,-10231,Medium
68932,36385,37731,-5184,Medium
32100,11579,27632,-7111,Medium
72091,9503,32478,30110,Low
36949,19054,13754,4141,Medium
85080,33988,55363,-4271,Medium
52744,8305,46498,-2059,Medium
60543,8895,31888,19760,Low
51187,28399,17261,5527,Medium
22239,9665,11199,1375,Medium
29489,15176,17798,-3485,Medium
73017,39391,28998,4628,Medium
76877,29665,53418,-6206,Medium
58125,20850,52234,-14959,Medium
64922,20464,37073,7385,Medium
47049,12160,24128,10761,Low
52131,16541,28172,7418,Medium
57944,28215,21386,8343,Medium
88963,35670,73836,-20543,Medium
39285,21459,21563,-3737,Medium
52626,16929,28016,7681,Medium
57808,23328,40223,-5743,Medium
68871,28626,38927,1318,Medium
34198,13537,23560,-2899,Medium
34758,15686,11708,7364,Medium
30254,6617,23847,-210,Medium
59238,21099,51199,-13060,Medium
16252,2472,11201,2579,Medium
54764,16005,47794,-9035,Medium
92709,31876,36236,24597,Medium
52441,22345,30754,-658,Medium
68682,39510,45404,-16232,Medium
74494,29821,48349,-3676,Medium
96317,45442,52095,-1220,Medium
80215,28326,40336,11553,Medium
93587,39030,35197,19360,Medium
21949,2973,11743,7233,Low
70393,15992,27988,26413,Low
88553,24876,65584,-1907,Medium
21941,7377,9331,5233,Medium
40934,5027,13718,22189,Low
38386,6526,24237,7623,Medium
76886,18330,50524,8032,Medium
90745,53155,74696,-37106,High
98251,26102,63488,8661,Medium
68413,23330,34705,10378,Medium
71800,14219,56133,1448,Medium
57318,23236,35776,-1694,Medium
85173,20470,29603,35100,Low
85390,17376,54607,13407,Medium
67329,24123,56880,-13674,Medium
58088,5968,31239,20881,Low
54811,5691,26188,22932,Low
70479,14767,27210,28502,Low
34963,4138,13665,17160,Low
70123,10799,39245,20079,Low
88477,23838,58165,6474,Medium
29388,14731,10237,4420,Medium
20569,7940,17766,-5137,Medium
84836,30229,63888,-9281,Medium
51586,12728,33632,5226,Medium
27015,15287,21532,-9804,Medium
60002,17911,20887,21204,Low
21254,3050,12457,5747,Low
32144,13131,21795,-2782,Medium
39214,6153,31261,1800,Medium
95719,26094,73711,-4086,Medium
86774,30692,40457,15625,Medium
21090,11327,18232,-8469,High
26637,9237,9978,7422,Medium
37415,16879,30870,-10334,Medium
39071,23302,34482,-18713,High
73243,12139,29758,31346,Low
56240,13349,41237,1654,Medium
98807,29374,32030,37403,Low
48434,15058,26311,7065,Medium
84724,25884,51662,7178,Medium
90697,50228,58806,-18337,Medium
43732,19986,37677,-13931,Medium
26314,10629,18507,-2822,Medium
38954,9921,22934,6099,Low
72108,36911,56662,-21465,Medium
51668,29839,44967,-23138,High
38061,19433,11922,6706,Medium
94252,9498,83838,916,Medium
54749,22896,19254,12599,Medium
31907,4006,25162,2739,Medium
33777,7728,15814,10235,Low
66745,8660,25316,32769,Low
96818,38910,54596,3312,Medium
38624,17121,26510,-5007,Medium
38321,6025,20255,12041,Low
25488,7440,8480,9568,Low
37574,12328,24786,460,Medium
20240,5758,17030,-2548,Medium
58221,9345,30853,18023,Low
25478,7884,10950,6644,Medium
70645,33597,39953,-2905,Medium
34262,4642,11272,18348,Low
67796,9497,53714,4585,Medium
19432,5390,15464,-1422,Medium
79291,45264,51761,-17734,Medium
94104,40868,48168,5068,Medium
74399,32686,58021,-16308,Medium
94714,26610,59936,8168,Medium
65428,25963,52051,-12586,Medium
15302,1607,10388,3307,Medium
97558,40783,75182,-18407,Medium
15055,8380,9923,-3248,Medium
23717,9635,13008,1074,Medium
43699,23459,38226,-17986,High
88686,40971,55399,-7684,Medium
82661,13248,54808,14605,Medium
59247,32658,25612,977,Medium
31748,4229,21442,6077,Medium
19621,7200,12615,-194,Medium
30034,5137,12341,12556,Low
20126,2130,6757,11239,Low
20122,6258,13333,531,Medium
33030,8175,25043,-188,Medium
97838,33558,60076,4204,Medium
99717,38750,43482,17485,Medium
70658,8611,49454,12593,Medium
53638,8662,18669,26307,Low
82067,31129,46376,4562,Medium
49674,13490,19771,16413,Low
50854,23626,20884,6344,Medium
61271,26110,25818,9343,Medium
88688,46366,47184,-4862,Medium
53518,23882,17697,11939,Medium
25267,7958,13610,3699,Medium
16062,7010,9750,-698,Medium
65448,15556,38612,11280,Low
21229,5374,11244,4611,Low
71793,35501,57684,-21392,Medium
62915,20334,24360,18221,Medium
19632,9800,11846,-2014,Medium
18596,9506,6271,2819,Medium
21168,11193,7254,2721,Medium
22561,12596,14536,-4571,Medium
88794,28013,56793,3988,Medium
97152,25204,80327,-8379,Medium
41734,16322,26489,-1077,Medium
21371,6103,18718,-3450,Medium
41069,16449,13520,11100,Medium
94905,42972,34052,17881,Medium
27910,12397,9110,6403,Medium
88479,25417,36379,26683,Low
92735,17010,57937,17788,Medium
96264,30348,66166,-250,Medium
38275,6556,12529,19190,Low
87274,47568,75717,-36011,High
96449,26324,77670,-7545,Medium
75004,13292,35849,25863,Low
77981,8790,27005,42186,Low
99659,42146,40056,17457,Medium
69553,29104,26163,14286,Medium
63447,17149,23727,22571,Low
49529,6728,30269,12532,Medium
90703,27647,40590,22466,Medium
91090,23283,46900,20907,Low
32260,14147,28830,-10717,Medium
18812,7579,13367,-2134,Medium
43024,12145,37404,-6525,Medium
73656,15390,28396,29870,Low
42285,25118,22380,-5213,Medium
16605,5429,10508,668,Medium
86158,38265,29815,18078,Medium
87303,14865,26410,46028,Low
42139,14445,29592,-1898,Medium
92149,10483,63130,18536,Medium
71138,25092,38875,7171,Medium
91125,53035,54108,-16018,Medium
28918,8447,15883,4588,Low
42446,5072,13345,24029,Low
28046,3238,14057,10751,Low
39818,11706,16176,11936,Low
19324,3478,6938,8908,Low
