amount,hour,merchant_new,txn_count_today,anomaly_flag
30594,18,1,1,1
13150,8,0,1,0
20154,20,0,2,0
4117,12,1,4,0
37013,13,0,1,1
30778,22,1,7,1
32367,13,0,6,1
31466,21,0,5,1
42062,9,1,4,1
40099,15,0,2,1
2559,4,1,4,1
21450,22,1,3,0
48320,5,1,3,1
6583,1,1,1,1
49883,12,0,3,1
14720,12,1,2,0
3982,18,0,1,0
47413,17,0,2,1
45859,18,1,6,1
38378,0,0,2,1
36834,7,0,3,1
23773,21,0,6,1
769,15,0,3,0
124,1,1,2,1
26548,7,0,3,0
31395,5,0,3,1
20591,15,1,3,0
45979,22,0,4,1
34967,10,0,6,1
26078,16,0,6,1
29595,22,0,7,1
14083,18,0,6,1
31723,10,1,7,1
31024,7,0,2,1
23147,21,1,7,1
37025,3,1,7,1
27658,10,0,5,0
23575,7,0,2,0
15093,8,0,6,1
41896,1,0,1,1
11775,15,1,3,0
36754,5,0,3,1
42125,20,0,5,1
37433,20,0,1,1
29533,18,0,4,0
7315,7,0,7,1
22813,13,0,2,0
10166,23,0,4,0
15783,15,0,1,0
46710,11,0,5,1
25552,4,1,1,1
37470,23,0,5,1
43291,23,0,4,1
9297,18,0,4,0
23890,17,0,1,0
21108,8,1,1,0
49743,1,0,7,1
34979,19,0,3,1
18685,11,1,5,0
25678,1,1,3,1
31412,9,0,2,1
21003,0,0,2,0
19178,3,1,1,1
47406,11,0,4,1
12111,8,1,2,0
6091,3,1,2,1
12723,8,1,3,0
21109,5,0,3,0
34378,0,1,7,1
44772,9,0,7,1
17598,13,1,2,0
15128,21,0,1,0
5469,17,0,3,0
35540,5,0,2,1
10600,17,0,4,0
49672,19,0,3,1
30387,15,1,2,1
1518,14,0,7,1
24359,15,1,5,0
858,7,0,3,0
24797,12,0,5,0
6769,22,0,3,0
16413,10,0,3,0
28768,6,1,7,1
28851,16,0,6,1
43409,17,0,6,1
37891,21,0,5,1
8062,22,1,1,0
18079,18,0,2,0
46710,12,0,1,1
41067,14,0,1,1
47965,22,0,6,1
817,21,0,2,0
3945,21,1,6,1
43018,0,0,6,1
40147,15,0,7,1
15382,4,0,6,1
14671,2,0,4,0
11384,22,0,1,0
18224,9,1,7,1
33703,18,1,7,1
40552,4,1,1,1
36724,6,1,7,1
37310,13,0,1,1
42548,2,0,4,1
2123,12,0,3,0
49514,12,0,7,1
6319,9,0,5,0
17244,1,0,5,0
26861,5,0,4,0
6891,7,1,1,0
43773,3,1,5,1
34850,11,1,4,1
9749,14,0,6,1
45555,7,0,2,1
10812,6,0,5,0
39947,13,0,2,1
41606,22,0,1,1
2197,18,0,5,0
33433,13,0,4,1
33765,21,0,3,1
38495,12,0,5,1
40684,20,0,5,1
2063,0,0,5,0
20131,18,0,5,0
16924,0,0,4,0
37805,3,0,4,1
8783,9,0,3,0
9529,2,1,4,1
9875,19,1,4,0
21354,8,0,1,0
35744,2,0,7,1
40100,5,0,1,1
15685,5,0,7,1
48665,22,0,2,1
20810,11,0,3,0
9540,22,0,7,1
21302,0,0,1,0
39804,15,1,3,1
6912,23,0,3,0
44977,4,1,5,1
4473,8,0,6,1
10500,9,0,6,1
40977,12,1,6,1
34891,14,1,3,1
22604,11,0,5,0
49903,4,0,2,1
31876,4,0,2,1
42929,17,0,6,1
6875,11,1,2,0
43470,2,1,5,1
12504,6,0,6,1
24301,16,0,7,1
20698,18,0,7,1
40786,17,0,5,1
24580,0,1,2,1
12566,23,1,6,1
47108,4,0,7,1
40594,1,0,5,1
8608,0,0,4,0
8769,6,0,7,1
4936,10,1,4,0
28235,10,0,5,0
37437,17,0,5,1
21625,16,0,1,0
46774,1,1,7,1
43163,6,0,1,1
39693,6,1,3,1
10150,9,1,7,1
7906,21,1,6,1
38219,20,0,3,1
28854,2,0,3,0
35840,11,0,2,1
31038,2,0,4,1
44493,10,0,2,1
10962,11,0,6,1
38556,3,0,5,1
47944,15,1,1,1
22418,19,0,6,1
1820,17,0,5,0
12355,3,1,6,1
10019,21,1,5,0
12454,5,1,7,1
9039,20,1,1,0
36033,14,1,5,1
44798,0,0,3,1
39512,2,0,6,1
19410,4,0,1,0
20171,21,0,5,0
26337,16,0,3,0
49954,13,0,3,1
43479,8,0,7,1
34210,2,0,4,1
6839,12,0,3,0
27231,2,1,2,1
14435,10,0,1,0
17111,1,1,1,1
155,23,0,1,0
44297,14,1,5,1
21187,12,1,6,1
34764,18,0,5,1
5594,21,0,2,0
13325,15,0,6,1
39803,17,1,7,1
34600,6,1,3,1
19691,12,1,5,0
6263,3,0,6,1
14535,8,0,3,0
15655,9,1,6,1
37687,8,0,3,1
20440,6,0,6,1
9917,14,0,5,0
4031,7,1,5,0
9543,18,0,2,0
5732,10,0,7,1
5832,4,0,7,1
29849,1,1,4,1
41955,9,0,1,1
17034,15,0,5,0
45830,22,0,5,1
22810,12,1,3,0
26043,7,1,4,0
1574,8,1,7,1
49452,10,0,5,1
26170,10,1,6,1
128,22,0,7,1
35941,15,0,4,1
25523,9,0,1,0
39882,23,0,6,1
45886,11,1,3,1
8467,5,0,2,0
13412,11,0,6,1
1259,9,0,7,1
37971,17,0,1,1
4948,17,0,6,1
18612,3,0,4,0
10921,8,0,4,0
7660,6,0,1,0
43895,17,0,7,1
27432,7,1,4,0
15841,10,0,6,1
35362,6,1,2,1
38340,8,1,6,1
2420,7,1,2,0
19715,2,0,4,0
4760,16,0,6,1
378,1,1,4,1
46501,14,0,7,1
38397,13,0,2,1
20662,17,0,7,1
45940,15,0,4,1
6844,19,1,5,0
32938,21,0,3,1
6799,3,0,6,1
46581,19,0,5,1
20658,5,0,7,1
15500,5,0,4,0
3725,10,0,4,0
18510,16,1,3,0
38461,23,0,4,1
11610,2,1,3,1
32513,12,0,6,1
31713,21,0,2,1
48201,2,0,3,1
3220,15,0,3,0
33173,14,1,5,1
28860,10,1,4,0
9768,17,0,6,1
78,14,0,2,0
47649,4,1,1,1
17447,15,0,7,1
43712,15,0,3,1
41837,16,1,1,1
45456,8,0,4,1
47707,22,1,7,1
2074,2,0,3,0
38657,19,1,1,1
13553,12,0,5,0
10353,21,0,1,0
17188,2,0,7,1
25395,6,0,5,0
29555,5,0,7,1
1956,8,0,2,0
40217,11,0,4,1
8011,14,1,6,1
26190,20,0,1,0
12081,19,0,3,0
15178,2,0,7,1
15713,9,0,7,1
34278,0,0,4,1
15732,18,0,1,0
15243,18,1,3,0
28611,22,0,3,0
43863,22,0,7,1
7816,12,1,6,1
29894,11,1,7,1
29482,0,0,6,1
29554,18,1,7,1
37196,23,0,7,1
40347,15,1,3,1
20908,22,0,6,1
3121,22,0,3,0
16989,14,1,1,0
24981,15,0,7,1
44510,10,0,2,1
1090,23,0,6,1
2736,5,0,5,0
12716,10,0,5,0
35371,2,0,5,1
1829,14,0,2,0
13236,0,0,3,0
16509,6,0,3,0
20760,0,0,4,0
22269,16,0,5,0
5107,8,1,5,0
18783,22,0,3,0
19207,12,0,5,0
35080,10,1,3,1
19663,19,1,7,1
43126,5,0,7,1
49594,0,1,3,1
17542,6,0,6,1
20796,11,1,3,0
5238,21,0,1,0
41620,19,0,1,1
29730,22,0,1,0
37875,18,1,1,1
36816,16,0,2,1
8914,3,0,4,0
36495,2,0,4,1
5846,0,1,3,1
47268,17,1,7,1
39181,20,0,5,1
8173,14,0,1,0
8272,7,0,4,0
24124,0,0,4,0
46472,19,1,1,1
29875,13,0,7,1
36889,3,0,2,1
41626,4,0,2,1
2836,22,0,4,0
33688,12,0,2,1
37014,23,0,6,1
44614,14,0,1,1
26038,5,0,7,1
35557,0,0,4,1
33758,22,0,1,1
33158,18,0,2,1
29765,12,1,1,0
23856,5,0,2,0
36951,14,0,7,1
17093,15,1,2,0
10275,23,0,1,0
9802,22,0,7,1
3507,15,0,2,0
42666,9,0,6,1
9291,21,0,3,0
503,8,0,1,0
9946,8,1,3,0
21876,16,1,1,0
11026,16,0,2,0
48690,16,0,2,1
33636,23,0,7,1
4918,11,0,4,0
16446,12,0,6,1
31684,11,1,4,1
12221,13,0,3,0
24161,9,1,2,0
33738,22,1,4,1
21354,18,1,2,0
42324,1,0,1,1
39293,3,0,4,1
28303,18,0,3,0
31030,6,0,7,1
2067,14,0,4,0
8007,14,0,2,0
49048,23,0,5,1
42238,5,0,5,1
4842,2,1,7,1
13287,5,0,7,1
16301,15,0,6,1
19302,1,0,7,1
10757,6,1,2,0
34256,10,0,1,1
28790,6,0,4,0
3593,3,0,7,1
44185,23,1,5,1
48338,19,1,1,1
39161,6,0,2,1
35081,3,0,1,1
42979,11,0,2,1
261,4,0,6,1
46627,22,0,4,1
39845,18,1,1,1
381,4,1,4,1
23294,18,0,1,0
8219,20,0,2,0
22154,2,0,2,0
41951,10,1,1,1
14641,6,1,6,1
31761,16,0,2,1
48943,8,0,3,1
777,20,0,3,0
21409,8,0,4,0
43872,9,1,7,1
36061,12,0,3,1
49850,14,1,3,1
37913,21,0,6,1
46627,4,1,6,1
23048,2,0,7,1
10979,7,1,5,0
14892,19,0,7,1
23569,9,0,5,0
17443,12,0,6,1
34368,2,0,5,1
9045,21,0,6,1
28706,7,0,5,0
47984,8,1,2,1
40310,21,0,6,1
45319,20,1,7,1
15617,11,1,4,0
28890,10,0,4,0
23881,1,0,6,1
13315,17,0,3,0
5474,8,0,4,0
20675,1,0,7,1
14136,1,1,3,1
29237,2,0,4,0
35979,15,0,1,1
20589,18,0,1,0
25153,3,1,6,1
27924,22,0,7,1
9265,17,0,7,1
39435,19,0,4,1
22094,17,0,2,0
11976,9,1,3,0
47910,10,1,4,1
31551,16,0,6,1
29824,23,0,3,0
25058,22,0,5,0
48978,23,0,6,1
17610,19,0,4,0
24390,15,0,2,0
25026,19,0,5,0
48456,12,1,6,1
27676,1,0,4,0
32770,23,1,1,1
35051,1,0,7,1
4750,13,0,4,0
43845,3,1,1,1
7910,16,0,1,0
7576,12,0,6,1
38377,3,0,4,1
39550,2,0,7,1
2563,11,1,4,0
7880,21,1,1,0
14831,22,0,3,0
7960,7,0,5,0
15897,1,0,2,0
5699,5,0,4,0
9170,21,0,5,0
2001,9,0,5,0
10215,11,0,3,0
14402,20,0,5,0
9796,9,0,4,0
43788,9,0,6,1
29047,22,0,6,1
42004,2,1,5,1
24233,19,1,4,0
8854,9,0,4,0
27219,8,0,1,0
645,19,1,3,0
29642,18,1,7,1
40693,13,1,2,1
20873,1,0,7,1
6022,4,1,1,1
15932,19,0,2,0
908,7,1,7,1
5569,6,1,4,0
23819,5,0,6,1
25070,10,1,1,0
42798,11,0,7,1
37135,17,1,5,1
19888,18,0,5,0
44962,9,1,2,1
12929,20,0,4,0
33848,13,1,6,1
42305,2,0,2,1
24340,17,0,7,1
46123,23,0,7,1
10305,14,1,6,1
1497,5,0,7,1
43055,9,0,3,1
29245,11,0,6,1
2900,6,1,5,0
28450,16,0,7,1
12003,0,0,7,1
40924,17,0,1,1
23585,14,0,1,0
10050,18,0,1,0
9553,0,0,6,1
15543,4,1,5,1
4105,14,1,6,1
38220,2,0,4,1
32458,0,0,5,1
42099,7,0,5,1
34490,11,0,6,1
28301,21,1,6,1
4582,18,0,1,0
4974,11,0,5,0
48087,12,0,1,1
12596,0,1,4,1
26629,18,0,3,0
6135,5,0,1,0
12440,7,0,6,1
13330,3,1,7,1
24168,4,1,2,1
4914,21,0,3,0
42134,6,0,4,1
34039,22,1,7,1
35678,3,0,6,1
26899,19,0,3,0
27616,3,0,6,1
10752,14,0,1,0
41246,20,0,7,1
15435,4,1,6,1
9386,23,0,7,1
31275,8,0,4,1
36071,1,1,2,1
3832,6,0,1,0
23391,16,0,1,0
49968,15,0,7,1
24144,16,1,4,0
49161,19,1,4,1
23916,22,1,3,0
19099,1,1,2,1
42769,10,0,6,1
31042,1,0,3,1
49087,0,1,6,1
14617,1,0,6,1
44501,22,0,6,1
3563,8,0,3,0
49697,21,0,1,1
13385,1,1,4,1
44190,14,0,1,1
38640,9,0,2,1
14887,14,1,3,0
12172,9,0,2,0
34890,22,0,4,1
31057,16,0,4,1
41347,8,1,5,1
27734,17,1,2,0
26443,3,1,1,1
22804,8,1,7,1
20849,15,0,2,0
38777,3,1,3,1
9157,15,1,4,0
6043,18,0,4,0
30855,0,0,2,1
28164,22,1,2,0
37839,5,1,6,1
46364,9,1,2,1
42992,15,1,6,1
16188,3,0,3,0
44577,21,0,3,1
9240,21,0,1,0
26773,12,0,2,0
12936,15,1,1,0
16829,19,0,7,1
28224,5,0,5,0
29136,10,0,3,0
17372,23,0,4,0
42646,2,0,6,1
35328,19,0,5,1
18083,9,0,4,0
20124,0,0,5,0
3485,19,1,1,0
36019,10,0,1,1
28992,11,0,6,1
29109,13,0,3,0
47971,7,0,7,1
32876,10,0,6,1
30347,3,1,7,1
43940,6,1,4,1
21372,9,0,5,0
35789,18,0,6,1
9769,3,1,7,1
14067,1,1,2,1
8364,20,0,2,0
28345,17,0,3,0
9678,13,0,7,1
42172,15,0,6,1
11542,21,0,4,0
36163,10,0,2,1
15407,9,0,3,0
33379,16,0,6,1
20415,13,1,3,0
39079,21,1,4,1
1787,3,0,2,0
9146,18,1,2,0
19988,1,0,2,0
12732,6,1,7,1
27549,8,0,1,0
44541,18,0,7,1
44916,15,0,2,1
41944,21,0,5,1
46207,15,1,1,1
41084,17,0,6,1
344,22,0,7,1
32586,20,0,1,1
24646,20,0,1,0
32699,10,0,7,1
11484,6,0,7,1
38148,8,1,1,1
4705,3,1,3,1
17543,12,1,5,0
46278,3,0,4,1
3821,18,1,2,0
8613,1,0,7,1
17608,8,0,1,0
33982,11,0,4,1
42293,1,1,7,1
26617,5,1,3,1
32426,4,1,4,1
21972,4,1,1,1
12438,19,1,6,1
29382,21,1,5,0
46787,4,0,4,1
23545,3,0,7,1
8484,8,0,1,0
21041,21,0,7,1
27522,9,0,1,0
40080,15,0,2,1
26899,9,0,6,1
1591,9,1,2,0
2815,18,1,6,1
43124,9,0,5,1
37309,5,0,2,1
29333,16,0,5,0
35901,4,0,7,1
34675,5,1,3,1
819,23,0,3,0
17856,14,0,6,1
25032,18,1,6,1
3022,17,1,2,0
18306,3,0,3,0
38417,7,1,4,1
18703,15,0,4,0
38093,23,0,7,1
21183,18,0,4,0
39389,19,0,7,1
25807,2,0,3,0
37890,9,0,4,1
42449,1,0,5,1
44063,3,1,1,1
32119,5,0,6,1
14756,10,0,2,0
38281,13,1,7,1
27959,15,0,5,0
40268,20,1,4,1
11145,18,0,1,0
20393,1,0,2,0
26519,16,0,5,0
1363,8,0,2,0
7897,16,0,7,1
9216,14,0,7,1
9980,6,0,6,1
3335,21,0,3,0
35913,22,0,7,1
16754,18,0,4,0
18755,2,0,5,0
605,0,0,5,0
21373,3,0,1,0
5482,17,0,1,0
1436,7,1,1,0
44057,18,0,2,1
10669,22,1,4,0
6904,22,0,2,0
43014,5,0,4,1
48851,0,0,5,1
7687,7,1,7,1
21275,0,0,7,1
45780,18,0,2,1
26789,10,0,2,0
47758,20,0,2,1
10668,23,0,3,0
36611,14,0,6,1
7423,22,0,4,0
35331,10,0,7,1
20237,18,0,4,0
2377,20,1,2,0
32441,9,1,3,1
41627,23,0,2,1
18599,11,0,4,0
39270,0,1,6,1
7692,23,0,7,1
14485,6,0,6,1
33810,16,1,5,1
38242,9,0,3,1
4431,5,0,6,1
31097,16,1,3,1
19608,17,0,2,0
30832,4,1,5,1
4832,17,1,4,0
25931,16,1,6,1
40278,21,0,6,1
29459,15,0,1,0
19512,7,0,7,1
3033,23,0,4,0
31983,12,0,6,1
47000,23,0,6,1
2573,15,0,4,0
9727,10,0,5,0
10342,5,0,3,0
15139,2,1,4,1
4631,0,1,3,1
11957,17,1,5,0
5659,4,0,5,0
44193,12,1,2,1
22986,9,1,1,0
42775,4,0,5,1
45773,13,0,5,1
34038,16,0,3,1
29556,0,0,5,0
13213,1,0,4,0
46107,6,0,2,1
12587,9,1,2,0
22469,19,0,4,0
42628,6,0,6,1
9505,23,1,5,0
9113,15,0,7,1
884,4,1,1,1
32264,11,0,5,1
27448,16,1,2,0
34542,15,0,1,1
2463,19,0,7,1
9555,15,0,6,1
37316,18,1,3,1
2155,14,1,3,0
2618,11,0,7,1
42148,20,1,5,1
49411,9,0,5,1
37729,21,0,1,1
49435,1,1,1,1
33610,6,0,6,1
14245,12,0,5,0
46719,2,1,2,1
15812,14,1,3,0
41344,0,1,6,1
15948,2,1,1,1
21627,9,0,2,0
1264,14,1,5,0
20853,21,0,4,0
48164,5,1,1,1
23748,19,0,6,1
33030,14,0,4,1
1708,23,0,2,0
12320,20,0,7,1
46847,6,0,3,1
37842,20,1,7,1
45857,4,1,7,1
22351,3,0,7,1
5191,21,1,2,0
38806,17,0,3,1
13827,2,0,2,0
38396,16,0,7,1
29491,17,1,1,0
47869,17,1,7,1
28519,23,0,1,0
3895,23,0,6,1
44700,1,0,7,1
23340,12,0,4,0
47065,21,0,2,1
30749,14,0,7,1
44302,4,0,2,1
33196,2,1,7,1
3343,4,0,4,0
44448,4,0,7,1
46478,4,0,5,1
16658,2,1,6,1
787,2,1,2,1
16669,19,1,6,1
12520,22,0,2,0
49913,17,1,2,1
22422,19,0,5,0
16167,3,0,7,1
14829,0,0,1,0
29344,15,0,6,1
21680,7,1,4,0
40089,16,1,6,1
49950,7,0,7,1
12228,6,0,5,0
19985,7,0,3,0
47308,20,0,3,1
22834,23,0,5,0
23077,11,1,7,1
31058,15,1,5,1
46681,11,0,1,1
1873,18,1,6,1
6902,9,0,7,1
13122,6,0,6,1
11183,11,0,3,0
15161,19,0,7,1
32362,4,1,4,1
24211,15,0,6,1
39337,8,0,2,1
1827,6,0,2,0
24064,19,1,1,0
14822,21,0,7,1
46439,13,1,1,1
44677,10,1,7,1
18211,6,0,3,0
42314,9,0,4,1
7540,8,1,4,0
41711,3,0,5,1
24552,15,1,1,0
35807,9,0,7,1
41161,18,0,6,1
32787,23,1,2,1
17759,16,1,6,1
44732,8,1,2,1
9048,12,0,3,0
28956,0,1,2,1
35540,1,1,6,1
4706,12,1,6,1
36951,23,0,4,1
25785,8,0,7,1
29142,6,1,4,0
1292,15,0,1,0
41357,18,0,6,1
1881,6,0,7,1
28561,5,0,3,0
7296,17,0,2,0
31517,18,0,1,1
18352,10,1,5,0
3282,11,0,5,0
36576,9,0,7,1
38815,12,0,2,1
11022,11,0,2,0
48186,20,0,7,1
34642,9,1,2,1
10733,19,0,4,0
23714,17,1,2,0
36878,3,0,5,1
33222,23,0,2,1
18155,4,0,6,1
21750,4,0,7,1
11067,11,1,3,0
36663,2,1,5,1
20644,7,0,3,0
11434,21,0,5,0
30398,1,0,1,1
16498,17,0,6,1
9541,8,1,5,0
13162,12,0,6,1
31071,6,1,5,1
44603,9,0,3,1
1018,8,0,3,0
418,21,0,7,1
8474,14,0,5,0
35060,4,1,5,1
35901,11,0,4,1
25546,0,1,6,1
30986,11,0,6,1
13372,21,1,6,1
1519,5,0,6,1
37543,18,1,1,1
4309,18,1,1,0
36440,15,1,2,1
10342,18,0,5,0
26891,2,1,5,1
28415,22,0,5,0
17257,9,0,5,0
36249,17,0,6,1
22962,12,0,6,1
36969,17,1,1,1
37031,2,0,3,1
15285,22,0,4,0
41807,2,0,6,1
33597,22,0,6,1
48169,11,0,7,1
43860,19,0,6,1
19326,6,0,3,0
31973,23,0,3,1
5584,7,1,1,0
26519,8,1,6,1
36124,13,1,7,1
35720,4,0,4,1
32613,20,0,5,1
46209,18,0,6,1
36536,20,0,1,1
71,15,0,1,0
34318,23,0,4,1
41852,11,0,7,1
15849,20,0,2,0
26386,3,1,1,1
3691,7,0,3,0
21646,6,0,3,0
33009,14,0,5,1
13356,5,0,1,0
46232,4,0,7,1
8637,13,0,5,0
31409,20,0,1,1
21548,12,1,4,0
4712,9,1,6,1
37144,17,0,7,1
41883,3,0,1,1
27247,7,0,7,1
20769,23,1,2,0
24715,10,0,7,1
43289,16,0,7,1
25082,17,0,3,0
12691,20,0,4,0
42014,10,1,6,1
30078,15,0,6,1
45544,11,0,3,1
15701,12,0,7,1
8586,15,0,6,1
45762,22,1,5,1
6323,20,1,4,0
6334,0,0,2,0
25742,15,0,3,0
8867,14,0,1,0
29005,5,0,1,0
26605,11,0,1,0
20428,7,0,4,0
41232,6,0,2,1
17177,1,0,6,1
49664,11,0,2,1
18002,20,1,2,0
11589,13,0,3,0
46811,15,1,4,1
46269,10,0,1,1
14742,19,0,3,0
18170,8,1,6,1
13384,9,0,2,0
28665,16,1,7,1
7953,11,0,1,0
28577,5,0,4,0
15679,18,0,5,0
17790,10,0,2,0
33832,8,0,2,1
26758,20,0,2,0
10910,5,0,2,0
17488,23,0,1,0
1814,15,0,4,0
6059,19,0,3,0
20892,15,0,1,0
42422,5,0,4,1
48830,4,1,3,1
